city,area,rooms,bathroom,parking spaces,floor,animal,furniture,rent amount (R$)
São Paulo,38,1,1,1,14,not acept,furnished,2800
São Paulo,73,2,2,1,7,acept,not furnished,3500
São Paulo,155,3,4,2,4,acept,not furnished,2000
São Paulo,63,2,2,1,15,acept,not furnished,3200
São Paulo,58,2,1,1,1,acept,not furnished,1400
São Paulo,48,1,1,0,9,not acept,furnished,3450
São Paulo,210,3,4,3,7,acept,not furnished,2790
Belo Horizonte,100,3,2,2,2,acept,not furnished,1600
São Paulo,94,3,2,2,1,acept,not furnished,3570
São Paulo,94,3,3,2,3,acept,furnished,5010
São Paulo,76,3,1,1,4,acept,not furnished,2500
São Paulo,192,3,3,2,13,acept,not furnished,7800
São Paulo,217,3,4,3,1,acept,not furnished,6500
São Paulo,68,2,1,1,5,acept,not furnished,1400
São Paulo,110,3,2,2,2,acept,not furnished,2400
Belo Horizonte,95,2,2,1,3,acept,not furnished,1600
São Paulo,900,4,6,8,-,acept,not furnished,15000
São Paulo,34,1,1,0,5,not acept,not furnished,1200
São Paulo,192,3,4,3,5,acept,not furnished,8000
Porto Alegre,62,2,2,1,9,acept,not furnished,1800
São Paulo,180,3,3,4,-,acept,not furnished,3700
Campinas,44,1,1,0,3,acept,furnished,916
Belo Horizonte,100,2,1,1,1,not acept,not furnished,1700
Rio de Janeiro,140,3,3,1,24,not acept,not furnished,1370
São Paulo,170,3,3,3,8,acept,furnished,2800
São Paulo,100,3,2,2,-,not acept,not furnished,1600
São Paulo,75,3,2,2,4,acept,not furnished,1600
Rio de Janeiro,52,2,1,0,2,acept,not furnished,1200
Campinas,999,5,7,8,-,acept,not furnished,14000
São Paulo,270,4,4,4,8,acept,not furnished,7000
Belo Horizonte,50,2,1,1,1,acept,not furnished,930
Campinas,200,3,3,2,-,acept,not furnished,2210
São Paulo,71,2,2,0,16,acept,not furnished,1920
São Paulo,500,5,4,6,-,acept,not furnished,13000
São Paulo,60,2,1,0,-,acept,not furnished,1080
São Paulo,110,2,1,0,8,acept,not furnished,1300
São Paulo,210,3,3,4,-,acept,not furnished,3294
São Paulo,220,3,4,3,8,acept,not furnished,6000
Belo Horizonte,200,3,2,5,-,not acept,not furnished,4000
São Paulo,130,3,4,3,2,acept,not furnished,4250
São Paulo,65,2,2,2,7,acept,furnished,4000
São Paulo,96,3,2,2,17,acept,not furnished,3200
São Paulo,660,4,5,5,12,acept,furnished,20000
Rio de Janeiro,107,3,2,0,7,acept,furnished,3200
Rio de Janeiro,105,3,2,0,1,acept,not furnished,2200
Rio de Janeiro,100,3,2,0,7,acept,not furnished,3290
São Paulo,287,3,4,4,-,acept,furnished,9000
Campinas,24,1,1,0,1,not acept,furnished,1180
São Paulo,22,1,1,0,-,not acept,not furnished,976
São Paulo,70,1,1,1,-,not acept,not furnished,2529
Porto Alegre,44,1,1,1,2,acept,furnished,1500
São Paulo,150,3,2,2,-,not acept,not furnished,2500
São Paulo,90,1,2,2,9,acept,furnished,2900
São Paulo,200,4,4,2,8,acept,furnished,2800
São Paulo,320,8,4,0,-,acept,not furnished,10500
Porto Alegre,90,2,1,1,2,not acept,not furnished,1700
São Paulo,240,4,4,3,9,acept,not furnished,2144
São Paulo,154,4,3,3,21,acept,not furnished,7000
São Paulo,60,2,2,2,2,acept,not furnished,3230
Campinas,101,3,2,0,5,acept,not furnished,2380
Porto Alegre,140,3,4,2,-,not acept,not furnished,3090
São Paulo,500,4,5,8,-,acept,not furnished,15000
São Paulo,110,3,3,3,4,acept,not furnished,2350
São Paulo,110,3,3,2,-,acept,not furnished,4800
Belo Horizonte,90,2,2,2,3,acept,not furnished,2000
São Paulo,384,4,6,4,3,not acept,furnished,15000
São Paulo,57,2,1,1,7,acept,not furnished,1500
São Paulo,160,3,3,2,5,acept,furnished,1500
São Paulo,39,1,1,0,8,acept,not furnished,1250
Campinas,78,1,2,1,4,acept,not furnished,2290
Porto Alegre,36,1,1,1,-,acept,not furnished,762
Campinas,70,2,1,1,1,acept,not furnished,1200
Belo Horizonte,45,1,1,1,4,not acept,furnished,3200
São Paulo,200,3,4,3,1,acept,not furnished,8500
São Paulo,100,3,3,3,-,acept,not furnished,4300
São Paulo,42,1,1,1,14,not acept,not furnished,5000
São Paulo,280,4,4,1,1,acept,furnished,8000
São Paulo,28,1,1,1,13,not acept,furnished,2800
São Paulo,30,1,1,0,-,not acept,furnished,1826
Belo Horizonte,85,3,2,1,1,acept,not furnished,1500
Campinas,83,1,1,1,4,not acept,not furnished,1080
Campinas,85,3,2,2,16,acept,furnished,3300
Belo Horizonte,90,3,2,2,3,acept,not furnished,1600
Belo Horizonte,50,2,1,0,5,acept,not furnished,900
Rio de Janeiro,50,1,1,0,8,acept,not furnished,2900
Belo Horizonte,300,3,2,3,-,not acept,not furnished,6700
Porto Alegre,39,1,1,0,7,acept,not furnished,850
São Paulo,750,4,4,6,-,acept,not furnished,15000
Porto Alegre,60,2,1,0,1,acept,not furnished,1100
Rio de Janeiro,68,2,1,0,4,not acept,not furnished,1250
São Paulo,70,2,1,1,-,acept,not furnished,1250
São Paulo,90,2,2,1,6,acept,furnished,6500
Rio de Janeiro,258,5,6,0,-,acept,not furnished,8700
São Paulo,200,2,2,6,-,acept,not furnished,4500
São Paulo,123,2,2,2,6,acept,not furnished,2990
São Paulo,127,3,2,2,-,acept,furnished,2150
Belo Horizonte,180,4,2,2,-,acept,not furnished,1800
São Paulo,110,3,2,0,-,not acept,not furnished,2900
Rio de Janeiro,70,2,2,1,7,acept,furnished,1719
São Paulo,35,1,1,1,8,acept,furnished,3000
São Paulo,219,3,2,2,-,acept,not furnished,2900
Rio de Janeiro,25,1,1,0,-,acept,not furnished,700
Rio de Janeiro,170,4,5,0,10,acept,not furnished,7100
Rio de Janeiro,45,1,1,0,8,acept,not furnished,1570
Belo Horizonte,420,4,4,2,-,not acept,not furnished,7000
Porto Alegre,46,1,1,0,4,acept,not furnished,1040
São Paulo,145,3,3,2,1,acept,furnished,5800
Belo Horizonte,59,2,2,1,2,acept,not furnished,1100
Belo Horizonte,225,4,3,0,8,acept,not furnished,7500
São Paulo,210,4,4,3,3,acept,not furnished,4675
Porto Alegre,76,1,1,0,-,acept,not furnished,1249
São Paulo,220,3,4,3,2,not acept,not furnished,5150
São Paulo,109,3,2,2,7,acept,not furnished,2500
Belo Horizonte,95,2,1,1,3,acept,not furnished,1000
São Paulo,32,1,1,0,-,not acept,not furnished,1500
São Paulo,480,4,6,5,9,acept,not furnished,15000
São Paulo,53,1,1,1,3,acept,not furnished,4390
São Paulo,40,1,1,0,-,not acept,not furnished,780
São Paulo,50,1,1,1,4,acept,furnished,3223
São Paulo,60,1,1,0,-,acept,not furnished,1300
Porto Alegre,64,2,2,2,7,not acept,not furnished,1500
Rio de Janeiro,140,3,3,2,4,acept,furnished,12000
São Paulo,121,3,3,1,12,acept,not furnished,2040
Campinas,43,1,1,1,4,acept,furnished,2100
São Paulo,20,1,1,1,3,not acept,furnished,1360
Campinas,58,2,1,1,3,acept,not furnished,950
Belo Horizonte,570,5,6,7,-,acept,furnished,8330
São Paulo,88,2,1,1,2,acept,not furnished,2790
São Paulo,89,3,2,2,19,acept,not furnished,6000
Porto Alegre,47,1,1,1,1,not acept,furnished,2200
São Paulo,40,1,1,0,-,acept,not furnished,1100
Rio de Janeiro,40,1,1,0,1,acept,furnished,1950
Rio de Janeiro,60,1,2,1,3,acept,not furnished,750
São Paulo,25,1,1,0,14,acept,not furnished,1650
Porto Alegre,50,2,1,0,13,acept,not furnished,1130
Porto Alegre,90,3,1,0,1,acept,not furnished,1130
São Paulo,173,3,3,3,2,acept,not furnished,2000
Campinas,91,3,2,2,12,acept,not furnished,2250
São Paulo,90,3,2,2,6,not acept,not furnished,1200
São Paulo,530,5,6,4,2,acept,furnished,15000
Belo Horizonte,155,1,4,0,4,not acept,not furnished,2790
São Paulo,40,1,1,0,-,not acept,not furnished,1300
São Paulo,296,4,5,3,3,acept,not furnished,15000
São Paulo,87,3,2,1,17,acept,not furnished,1400
São Paulo,300,3,3,5,-,acept,not furnished,5000
São Paulo,136,3,3,3,13,acept,not furnished,4206
São Paulo,52,2,1,0,4,acept,not furnished,1340
Porto Alegre,94,2,2,2,8,acept,not furnished,2900
Rio de Janeiro,300,4,5,3,7,acept,not furnished,12750
Rio de Janeiro,100,3,3,1,3,acept,not furnished,3229
São Paulo,500,4,6,3,-,acept,not furnished,7300
São Paulo,240,3,4,3,3,acept,furnished,4950
Belo Horizonte,308,2,3,3,-,acept,not furnished,2000
São Paulo,350,4,5,4,15,acept,furnished,4590
São Paulo,75,2,2,0,2,acept,not furnished,1450
São Paulo,155,3,2,3,4,acept,furnished,11700
São Paulo,260,3,5,4,12,acept,not furnished,6000
São Paulo,80,2,2,1,-,not acept,not furnished,1500
Rio de Janeiro,85,3,1,1,6,acept,not furnished,1998
São Paulo,120,2,2,2,22,not acept,furnished,3500
São Paulo,100,2,2,1,-,acept,not furnished,1970
São Paulo,240,4,5,4,6,not acept,not furnished,3500
São Paulo,360,7,6,6,-,acept,not furnished,5270
São Paulo,42,1,1,0,-,not acept,not furnished,1100
São Paulo,33,1,1,1,14,acept,furnished,2800
Rio de Janeiro,48,1,1,0,1,not acept,not furnished,1020
Rio de Janeiro,36,1,1,0,5,acept,not furnished,1130
São Paulo,270,6,3,6,-,acept,not furnished,4500
Campinas,75,2,1,1,2,acept,not furnished,1200
Rio de Janeiro,46,2,1,0,3,not acept,not furnished,1600
São Paulo,350,3,3,3,-,not acept,not furnished,10000
Porto Alegre,131,3,3,1,10,acept,furnished,1750
Campinas,90,3,2,1,3,acept,not furnished,1300
Rio de Janeiro,26,1,1,0,4,not acept,not furnished,1650
Rio de Janeiro,44,1,1,0,3,acept,furnished,1100
São Paulo,70,2,2,0,-,acept,not furnished,1880
Belo Horizonte,40,1,1,0,-,not acept,not furnished,900
Belo Horizonte,320,4,2,4,-,acept,not furnished,3200
São Paulo,213,2,2,3,-,acept,not furnished,5150
São Paulo,80,2,1,0,1,not acept,not furnished,1100
Campinas,70,1,1,0,6,acept,not furnished,800
Rio de Janeiro,60,2,1,1,5,acept,not furnished,1500
São Paulo,270,4,4,4,5,acept,not furnished,12850
Rio de Janeiro,70,2,1,1,3,acept,not furnished,1300
Porto Alegre,300,6,2,2,-,acept,not furnished,6000
São Paulo,220,4,5,3,14,acept,furnished,12000
Porto Alegre,64,2,2,2,7,acept,not furnished,1600
Rio de Janeiro,80,3,3,1,7,not acept,not furnished,1470
São Paulo,56,1,1,0,9,acept,furnished,2500
São Paulo,161,4,3,2,1,acept,not furnished,10000
São Paulo,35,1,1,0,-,acept,not furnished,1350
São Paulo,720,4,6,5,-,acept,furnished,12750
São Paulo,280,4,5,4,6,not acept,not furnished,3200
Porto Alegre,96,3,2,0,2,acept,not furnished,2100
Campinas,236,3,4,4,10,acept,not furnished,11000
São Paulo,81,3,2,1,4,acept,not furnished,1510
São Paulo,62,2,1,1,1,acept,not furnished,1650
Belo Horizonte,125,3,2,0,2,acept,not furnished,1200
São Paulo,37,1,1,1,6,acept,furnished,4150
São Paulo,60,2,2,1,11,acept,not furnished,4000
São Paulo,230,4,2,3,1,acept,not furnished,5000
São Paulo,210,4,5,2,1,acept,furnished,8500
São Paulo,450,4,3,8,-,acept,not furnished,14000
São Paulo,234,3,5,4,-,acept,furnished,3680
Belo Horizonte,135,4,3,2,2,not acept,not furnished,2450
São Paulo,395,4,5,3,-,acept,not furnished,6000
Porto Alegre,92,2,2,1,2,acept,not furnished,1700
São Paulo,412,3,5,6,21,acept,not furnished,3952
São Paulo,42,1,1,1,27,acept,not furnished,5300
São Paulo,33,1,1,0,12,not acept,furnished,3000
Porto Alegre,28,2,1,1,-,acept,not furnished,600
São Paulo,190,4,4,2,-,not acept,not furnished,4450
São Paulo,165,4,3,3,10,acept,furnished,6300
Porto Alegre,44,1,1,0,5,acept,not furnished,1200
São Paulo,60,2,1,1,4,acept,not furnished,1275
São Paulo,380,3,3,2,1,acept,not furnished,11000
Rio de Janeiro,73,2,1,0,4,acept,not furnished,830
Belo Horizonte,19,1,1,0,5,acept,not furnished,1100
Campinas,230,3,5,4,6,acept,not furnished,7500
Porto Alegre,37,1,1,1,2,acept,not furnished,2500
São Paulo,124,3,2,3,7,acept,not furnished,6600
Rio de Janeiro,115,3,2,1,8,acept,furnished,2680
Campinas,600,3,3,4,-,acept,not furnished,5500
Rio de Janeiro,700,5,5,4,-,acept,furnished,15000
Porto Alegre,35,1,1,0,1,acept,not furnished,815
Belo Horizonte,15,1,1,0,3,not acept,furnished,1100
Campinas,80,3,2,1,2,acept,not furnished,1450
Porto Alegre,48,1,1,0,4,acept,not furnished,700
Belo Horizonte,96,3,2,1,2,acept,not furnished,1500
São Paulo,150,3,2,1,7,acept,furnished,6715
Belo Horizonte,105,3,2,2,2,not acept,not furnished,3300
Belo Horizonte,204,4,4,4,22,not acept,furnished,10000
Rio de Janeiro,125,3,1,2,11,acept,not furnished,2600
Rio de Janeiro,50,2,1,0,3,not acept,not furnished,2300
São Paulo,250,3,4,3,-,not acept,not furnished,3740
São Paulo,300,3,4,3,7,acept,furnished,2000
São Paulo,80,2,1,1,-,acept,not furnished,1500
Rio de Janeiro,130,3,4,1,2,not acept,not furnished,1400
São Paulo,120,2,3,0,2,acept,not furnished,3300
São Paulo,540,3,3,4,9,acept,not furnished,15000
São Paulo,23,1,1,0,23,acept,not furnished,2100
São Paulo,15,1,1,0,-,not acept,furnished,2500
São Paulo,72,1,2,2,19,acept,not furnished,4000
Rio de Janeiro,95,3,2,2,7,acept,not furnished,2300
São Paulo,330,4,5,4,13,acept,not furnished,10000
São Paulo,75,2,2,2,7,not acept,furnished,6600
São Paulo,53,1,1,1,4,acept,not furnished,4398
São Paulo,178,3,2,1,2,not acept,not furnished,1900
São Paulo,150,3,2,0,-,acept,not furnished,4000
São Paulo,50,2,1,1,4,acept,not furnished,1200
São Paulo,150,3,2,1,-,not acept,not furnished,2500
Porto Alegre,25,1,1,0,-,acept,furnished,984
São Paulo,210,3,4,4,13,not acept,not furnished,12000
Belo Horizonte,75,3,2,1,4,acept,not furnished,1500
Belo Horizonte,200,2,4,3,12,acept,not furnished,15000
São Paulo,350,4,4,0,-,acept,not furnished,8000
Porto Alegre,49,2,1,1,7,acept,not furnished,1150
Porto Alegre,40,1,1,0,4,not acept,furnished,2000
São Paulo,45,1,1,1,2,not acept,furnished,4200
São Paulo,46,1,1,1,8,not acept,furnished,7600
São Paulo,80,2,2,2,15,acept,not furnished,11000
São Paulo,30,1,1,0,3,acept,furnished,2850
São Paulo,80,2,2,2,-,acept,not furnished,2200
Rio de Janeiro,105,2,2,1,10,acept,not furnished,1530
Belo Horizonte,105,3,2,2,7,acept,not furnished,2000
São Paulo,114,3,1,0,-,acept,not furnished,2570
São Paulo,200,3,3,4,-,acept,not furnished,7000
Porto Alegre,120,3,3,2,5,acept,not furnished,3000
São Paulo,60,2,2,1,11,acept,not furnished,4000
São Paulo,90,2,1,1,1,acept,not furnished,3000
Rio de Janeiro,53,2,1,0,3,not acept,not furnished,1800
São Paulo,80,2,2,5,-,acept,not furnished,3000
Campinas,87,4,2,2,4,acept,not furnished,1600
Rio de Janeiro,110,3,1,1,1,acept,not furnished,5000
Belo Horizonte,113,4,2,1,3,acept,not furnished,4000
São Paulo,170,3,2,2,5,not acept,not furnished,5000
São Paulo,150,3,2,0,1,not acept,not furnished,3000
Porto Alegre,60,2,2,1,11,acept,not furnished,1500
Porto Alegre,43,1,1,0,4,not acept,furnished,2100
São Paulo,130,3,2,2,4,acept,furnished,3500
São Paulo,69,3,2,0,7,acept,furnished,1900
Campinas,306,3,2,2,-,acept,not furnished,2500
São Paulo,187,3,2,3,-,acept,not furnished,3500
São Paulo,385,3,4,3,-,acept,not furnished,9000
São Paulo,355,4,4,3,-,acept,not furnished,7300
Porto Alegre,90,2,1,1,2,acept,not furnished,1100
São Paulo,190,3,4,4,-,acept,not furnished,5000
Campinas,181,2,1,2,-,acept,not furnished,1400
São Paulo,350,3,5,4,13,acept,not furnished,3490
Belo Horizonte,168,5,3,2,2,acept,not furnished,2900
Rio de Janeiro,73,2,1,0,1,acept,not furnished,2800
São Paulo,378,5,5,4,4,acept,not furnished,3000
Campinas,60,2,1,1,-,acept,not furnished,1300
Belo Horizonte,362,4,5,0,19,not acept,not furnished,15000
São Paulo,90,3,2,0,-,acept,not furnished,1700
Rio de Janeiro,42,1,1,0,4,not acept,furnished,1973
Rio de Janeiro,56,2,1,1,18,acept,not furnished,1000
São Paulo,16,1,1,0,1,not acept,not furnished,850
São Paulo,90,2,2,2,15,not acept,furnished,10000
Belo Horizonte,67,1,1,0,13,acept,not furnished,850
São Paulo,488,4,3,3,-,acept,not furnished,6400
Rio de Janeiro,30,1,1,0,10,acept,not furnished,1100
São Paulo,290,6,3,4,-,acept,not furnished,8000
São Paulo,266,3,3,4,10,acept,not furnished,6400
Campinas,47,2,1,1,4,acept,not furnished,900
Rio de Janeiro,590,6,6,2,-,acept,furnished,8000
São Paulo,900,4,9,8,1,acept,not furnished,15000
São Paulo,86,2,1,1,-,acept,not furnished,2200
São Paulo,290,3,3,2,-,acept,furnished,15000
Porto Alegre,84,3,2,2,4,acept,not furnished,3300
São Paulo,160,3,1,2,-,acept,not furnished,5000
São Paulo,37,1,1,0,3,not acept,furnished,3500
Campinas,73,3,1,1,4,acept,not furnished,850
São Paulo,350,4,5,5,17,acept,furnished,15000
Rio de Janeiro,57,1,1,0,2,acept,not furnished,1100
Campinas,48,1,1,0,9,acept,not furnished,650
Rio de Janeiro,30,1,1,0,8,acept,not furnished,800
Campinas,198,6,3,4,-,acept,not furnished,2000
Porto Alegre,47,1,1,0,2,not acept,not furnished,1000
Porto Alegre,60,2,1,1,3,acept,not furnished,800
São Paulo,230,3,3,0,9,acept,furnished,5000
Belo Horizonte,90,2,1,1,-,not acept,not furnished,1520
Rio de Janeiro,129,3,2,1,8,acept,furnished,3255
São Paulo,240,4,4,4,22,acept,not furnished,6672
Porto Alegre,55,1,1,0,14,acept,not furnished,1020
Porto Alegre,52,1,1,0,-,acept,not furnished,1200
São Paulo,250,3,4,3,8,acept,not furnished,6000
São Paulo,200,3,2,2,19,acept,not furnished,10000
Belo Horizonte,312,4,3,3,1,acept,not furnished,2300
São Paulo,230,5,5,3,-,acept,not furnished,9900
São Paulo,72,2,2,2,9,acept,not furnished,2480
São Paulo,55,2,1,0,5,acept,furnished,2400
Rio de Janeiro,72,2,2,1,2,not acept,furnished,3600
São Paulo,50,2,1,0,-,acept,not furnished,1200
São Paulo,17,1,1,0,1,acept,not furnished,2700
Belo Horizonte,160,3,3,2,4,acept,not furnished,2400
São Paulo,214,4,4,3,5,acept,not furnished,6520
Rio de Janeiro,65,1,1,0,-,acept,not furnished,1800
São Paulo,136,3,2,1,10,not acept,furnished,6500
Porto Alegre,70,2,2,1,6,acept,not furnished,1900
Porto Alegre,38,1,1,0,2,acept,not furnished,650
São Paulo,450,8,5,5,-,acept,not furnished,8000
Rio de Janeiro,67,2,1,1,2,acept,not furnished,2200
São Paulo,20,1,1,0,1,not acept,not furnished,1100
São Paulo,41,1,1,0,12,acept,not furnished,1530
São Paulo,50,2,1,1,7,acept,not furnished,1550
São Paulo,205,3,3,3,-,acept,not furnished,5525
São Paulo,100,3,2,1,-,acept,not furnished,3300
São Paulo,190,3,4,4,16,acept,furnished,15000
Belo Horizonte,45,2,1,0,-,acept,not furnished,1350
Campinas,57,1,1,1,2,acept,not furnished,800
Porto Alegre,88,1,2,2,3,acept,not furnished,1600
São Paulo,70,1,1,1,10,acept,furnished,3400
São Paulo,76,2,2,0,11,acept,furnished,2800
Rio de Janeiro,36,1,1,0,10,acept,not furnished,1370
Porto Alegre,61,2,2,2,11,acept,not furnished,2500
São Paulo,280,4,3,6,-,acept,furnished,12500
São Paulo,480,5,6,3,-,acept,not furnished,5000
Campinas,45,1,1,1,17,acept,furnished,1950
São Paulo,42,1,1,0,9,acept,furnished,1500
Porto Alegre,62,2,1,0,4,acept,not furnished,736
São Paulo,38,2,1,0,2,acept,not furnished,1500
São Paulo,44,1,1,1,8,not acept,furnished,2400
São Paulo,75,3,2,2,11,acept,not furnished,2800
Rio de Janeiro,66,2,1,1,2,acept,not furnished,1250
São Paulo,125,3,3,2,-,acept,not furnished,2800
Campinas,62,2,1,2,7,acept,not furnished,1500
São Paulo,77,2,1,1,5,acept,not furnished,3100
São Paulo,136,2,4,2,7,acept,not furnished,4800
São Paulo,200,4,2,1,5,acept,not furnished,5000
São Paulo,35,1,1,0,1,not acept,not furnished,1305
São Paulo,250,4,3,2,-,acept,furnished,4500
São Paulo,90,2,2,2,-,acept,furnished,4100
Campinas,72,2,2,1,7,acept,not furnished,850
São Paulo,168,3,3,5,16,acept,not furnished,3500
Porto Alegre,360,3,4,3,5,acept,furnished,13200
Campinas,38,1,1,1,9,acept,not furnished,740
São Paulo,23,1,1,1,26,acept,not furnished,2300
Porto Alegre,440,3,3,3,7,not acept,not furnished,10500
São Paulo,120,3,3,2,9,acept,furnished,3500
Rio de Janeiro,90,2,2,0,5,acept,not furnished,2500
Porto Alegre,125,4,2,0,7,acept,not furnished,1632
São Paulo,200,3,4,3,6,acept,furnished,5058
São Paulo,190,3,3,2,5,acept,not furnished,3260
